team_name,video_id,comment_1,comment_2,comment_3,comment_4,comment_5,comment_6,comment_7,comment_8,comment_9,comment_10,comment_11,comment_12,comment_13,comment_14,comment_15,comment_16,comment_17,comment_18,comment_19,comment_20,comment_21,comment_22,comment_23,comment_24,comment_25,comment_26,comment_27,comment_28,comment_29,comment_30
Chelsea,xY4Wgd2OyG4,"01:24 look at Kante's run. Playing like a number 9. He had Konate on his knee. What a player. Playing after so long and yet produced match winning display, if only Kai and Kova converted them chances. Kante is the biggest reason I believe we have a chance in Champions league agains RM and our strikers poor finsihing is the biggest reason I think we don't have a chance against RM","Kante's always been a star man. We, Liverpool, couldn't handle him. There's nothing wrong with Chelsea, you just need a striker.",the man we missed so much! NGOLO KANTE!!!!!,"Kante was out for almost half a year and on his first match after the injury giving this kind of performance is just crazy. Certainly one of the best midfielder of all time, have won Champions League, World cup, premier league etc, Class player!",Should’ve won. We can’t finish. Imagine this team with a striker. Should’ve had 2/3 goals tonight. We were so much better than them.,"story of our season, decent performance but no end product",It is hard to believe that Kante was out for so long ! what a player,"Impressed with the midfield three: Kova, Kante and Enzo. It was exciting to see some grimps of the classic N'golo Kante. The overall play was good, we outclassed Liverpool in every department. The familiar problem is scoring. Felix can be a great player in any team only if he works on his finishing. Overall our attack was impotent and this can be costly against teams like Real Madrid who are clinical. Next season a prolific CF is a number 1 target.","Kanté, W.fofana, konate, the goalkeepers.. were incredible","How do you expect to win games, score a lot of goals, if Kai Havertz is your striker",Kante and Fofana did well,I'm more happy that we played well than angry that we didn't score! Imagine how this team will look without Havertz at #9 and with a good manager!,"we almost had this but positive display. Kante being back shows the difference. PL is write off, let's focus CL..... come on Chelsea ","honestly they played really well but unfortunately all goals werent counted couldve ended up with a 3:0 but good play, hopefully we keep up this performance and do even better for the RM game coming up and we win some matches in the PL",Kante is so damn good,"Team transformed by the General's return,you're a star N'golo Kante!!!✅🫂",Oh N’GOLO Kante I’ve missed you ! ,Kante the midfield maestro ,imagine all these attacking forces and chances but with a striker who has premier league experience like Harry Kane upfront,"It's really frustrating that we can't finish these clear situations. We need to remind ourselves how to score or Madrid will wreck us. Looked better with Kante tho, I hope he won't get injured again soon.",I'm so happy to see Kante back.,Kante always giving his his,"what a performance from kante despite being out for months, not to mention that hes fasting too","I'm here to watch Kante. He is back, but Chelsea still needs a good finisher!",put the ball into the net!,"If we play like this, I think we need Timmo as we ever played",gotta admit... Kante really has a great impact on this team... It's like he was never injured.,Imagine this team next season with nkunku ,"Kante
What a perfomance","N'golo Kante played extremely well. Goes to show that Potter slept on his potential. I bet if that game had D.D Fofana on the front maybe even Aubameyeng we would have found the ball at the back of the net.

Advice to Bruno, Foolishness is doing the same thing expecting different results (change in our front 3 is needed, defence and midfield is ok)"
Chelsea,mBewRJ9CASE,Tuchel with the 10 pts in the first league matches this season save us from relegation. That's it.,"Not a Chelsea fan but it was nice to see ngolo back on the pitch.....an absolute legend of the game!
Chelsea can hold that!",What an assist by Cucurella! ,"had no patience with Tuchel ❌
patience with Potter✅

Todd Boehly logic","I was in favour of us hiring Potter (though didn't want TT gone in first place), but Graham so far has shown very less in things he can control. I understand the injuries and bad luck, but the in game management is evident to all and the things we do in training can only be judged on what's on pitch. We're 11th right now and have just lost battle of mids in our own home. I know the owners want to back him, but I hope there is at least some apt contingency plan in place because this is not the Chelsea we know. And there's only straws to be grasped.

Up the Chels anyway. I hope we see better times we knew again.","Definitely Dibu the player of the match! Chelse shot 27, 8 in the target but scored 0!","What an assist from Cucurella and what a chip goal  finish from Watkins
Pure Perfection !","Mudryk finishing and ball control in the last couple of games is below par, how did the club pay that  big of an amount for a non- league standard player like him.",be grateful for Tuchel if not his points at beginning of season chelsea would've been in relegation battle,Those martinez saves are unbelievable.,The moments at 0:00 and 0:50 were fantastic! I wish Mudryk always played like that!,"Thanks to Dibu again and again, campeón del mundo !",Happy to see Kante back on the field ,"Thanks for posting this. The chances were many for Chelsea, but not converted. Villa was good for the win.",Mudryk bottled it in two different occasions. He should've tried to assist,You can't argue now that he doesn't have to go,"In the midst of my sorrow and disbelief, at least am happy to see Kante back...","What a performance from Felix and mudryk they really converted themselves to the Chelsea style of play , may this losing streak continues",It's time to goooooo,"Players have to improve their finishing, not a single goal scored is shocking.",Am not a Chelsea fan but its good to see kante back,whenever i feel sad i watch chels matches for uncontrolled laughter good job cucurella 🤣🤣🤣🤣,Cucurella's header is the best assist I've seen in a while now,"I don't think the manager is the problem when our players can't score. Surely if you have an array of talented players they can score a goal. Good to see kante back , both kante and mudrykh had goal opportunities",What an assist from the Spanish guy,Good to see Kante back,Quality assist by Cucurella for the first goal ,"We just need a finisher cause the amount of chances we are creating is nuts 

And that mistake from cucurella was a mistake definatly but the other goal was really good by aston 

And we desperatly need that man joao for nxt season",Would say we’re inconsistent but we’re consistently losing now,"People should start to know that the problem is only Todd Boehly. I mean, Abramovich fired a lot of coaches too but the team never got this bad."
Chelsea,CokI98aEmeU,We must shift our attention to the massive game against Lyon this Thursday at Stamford Bridge and try qualify for the semi's of the UWCL. Come on you Blues! ,We lost this game but I love Chelsea Women team so much.,The back position needs some change and people with a risking mind to head forward not just messing around passing and losing the ball all the time without a vision to head forward. I think the coach should work on this and make Chelsea women's team showcase their dominance at the top of the table. They should study the way man city men play their game ✌️,"When against Lyon, we were the lucky one. On this game, the mentality is so poor.",Time to bounce back blues,"I know Emma has been trying to replace Magda; she has tried the last few seasons. We need a LB, CB, CM and possibly GK very soon.",No Reiten..No win..,Better days are coming iron lions 🦁,Hard lucky blues,Nice game❤,Nevermind.....got 1 more games... Chelsea women can do ,"The backline including the goalkeeper , poor",Don’t lose focus ladies . The league is ours to lose.!,Well get them next time definitely,So sweet,CITY !!  🩵🩵,"The goal keeper's kick needs to improve 
If she continues giving the balls away like that we'll obviously get to be punished by the opponents always....
Very poor kick against Lyon last week",✨✨,We will be back.,The ladies didn't play well at all,Sayang sekali kalah dari city,I can't believe,"Line Up

Manchester City WFC

E. Roebuck 1 (GK) 
E. Morgan 14
S. Houghton 6
A. Greenwood 5
L. Aleixandri 4
F. Angeldal 12
Y. Hasegawa 25
L. Coombs 7
C. Kelly 9
K. Shaw 21
L. Hemp 11

Chelsea L.F.C

A. Berger 30 (GK) 
M. Mjelde 18
K. Buchanan 26
M. Ericsson 16
J. Carter 7
M. Leupolz 8
S. Ingle 5
L. James 10
E. Cuthbert 22
G. Reiten 11
S. Kerr 20",Over reliance on kerr,That's so strange,Poqfie,Too bad to my Chelsea women team,ор,"Chelsea really poor, Hayes making the excuse that players are tired and yet they have been playing as many games as they have in past couple of years with no problems. Players just weren't good enough on the day and we're outplayed by a better team.",First
Chelsea,XzCoVvz8RDA,Chelsea women never disappoints and always makes us proud.,"0:21 that nutmeg from Cuthbert is disgusting, what an assist and equally good finish from Reiten ‍🤌",I love Chelsea Women⚽. Proud of them. Great performance,This is the most beautiful goal I've ever seen. Thank you Guru Guro ,Chelsea Women are not just winning football matches but playing with great skill and love of the game. Marvellous stuff!,What a performance ,"0:20 Erin - fighter, skiller and playmaker ",What a goal🤘,Elite performances from the blues ,We need a massive crowd for the second leg at Stamford Bridge next Thursday to try and get through the tie! COYB!!!! ,00:20 IS THE MOMENT OF EVERYTHING!,"Amazing ,Beautiful passes 🤍","Bravo Our Beautiful Chelsea Ladies, You are Our Proud everytime.",Congratulations Chelsea women Time ❤❤❤,Great result away at 8x champions league winners and current holders well done ladies,Great Win Ladies,Come On Chelsea ,What a nutmeg from Erin our wee hero Scotland 󠁧󠁢󠁳󠁣󠁴󠁿 󠁧󠁢󠁳󠁣󠁴󠁿󠁧󠁢󠁳󠁣󠁴󠁿󠁧󠁢󠁳󠁣󠁴󠁿󠁧󠁢󠁳󠁣󠁴󠁿well done Chelsea,"What was Captain doing with that pass straight into the path of opposition player my God  she could have been punished her with a goal but lucky she didn’t score ok I don’t know what she was thinking in that moment  

That shows the experience is needed to win big games ok",Awesome! Now lets win the 2nd leg.,Great game,Congrats ,Defence was not good enough tbh Good result though,,Good job ladies ,❤❤❤,Guro Reiten is so master class player for me.🥰🤗,❤,"CHËALSËA 
",Fan Chelsea from Vietnam 
Chelsea,ONS2urrUe6Q,Proud of my team Chelsea ⚽,Abdullina happy to see my favorite player finally get some minutes. Hoping to see her play in the league,Such a great performance for Alsu ,Reiten needs to be deployed as a no 10 more often!,Guro Reiten is becoming my favorite,Brilliant display by our Blues Team ,Bravo Our Beautiful Chelsea Ladies.🥰🤗,our third goal was very satisfying to watch! love that my club is a force in the womens league too! bravo!,Well done Chelsea Wembley is waiting ,Way to go Ladies! ,Women never disappoint always,Our women's team is soo good ,Good job ladies... great games ,Bravo ladies! ,Good on ya Carter Get dem Goals girl  ,Is Good Chelse FC..☺️🤗,Reiten the Magician,Why is no one talking about replacing Graham potter with Hayes?,Alsu,,,"Line Up

Reading F.C. Women

G. Moloney 1 (GK) 
E. M. Kith 16
B. Hendrix 15
E. Mukandi 3
F. Bryson 2
A. Eikeland 9
J. Moore 20
S. L. Woodham 28
R. Rowe 23
S. Troelsgaard Nielsen 51
C. Wellings 7

Chelsea L.F.C

Z. Musovic 1 (GK) 
J. Carter 7
M. Bright 4
M. Ericsson 16
J. R. Kaneryd 19
M. Mjelde 18
J. Fleming 17
S. Ingle 5
A. Abdullina 27
G. Reiten 11
N. Charles 21",✨✨✨,Love from puerto rico ,❤❤,If the men cannot make us the women make us proud BRAVO to them,Come on blue  KTBFFH ,Better than males team.. ,Can we swap coaches with our female team??!,"My pride and joy❤❤❤❤

Potter and the lads need Jesus"
Chelsea,GkoKZUBvC9E,what Chelsea needs isn't capable players BUT CAPABLE LEADER WITH BRILLIANT BRAIN!,"Good good results


for Everton.","Awful subs killed the game, sitting on a 1-0 lead at the 60th min is just shameful and cowardly. The form worked really well, and in no way can I understand WHY we had to change from a well working 3-4-3 to an ill 3-5-2 midgame... as well as subbing players who has no problems playing to ones with different mentality... it's just... mid-level. This is not Chelsea mentality.",It's clear we need a new manager for next season,Potters tactics is to play untill the first goal and then park the bus. He just buried our last hopes.,I think potter missed the substitution part while learning coaching ,I was screaming at my tv when he subbed Connor for Pulisic near the 65th minute. Wtf is that? One goal and we park the bus??? What mentality is that??,"We are no longer a big club… we have now accepted mediocrity and this is our level… that potter is still in a job after all the pain I have endured watching this club this season, shows how far we have fallen. Thanks Boehly for successfully downgrading our status as a club and our expectations as fans.",Chelsea played like *Chelsea* for about an hour.  And I like that front line ,What is wrong with our Manager? He made substitutions as if it was a friendly match or training match. What!,"We have fantastic players like Enzo, James, Chilwell, Thiago..etc. BUT ONE GUY SCREWED UP EVERYTHING. EVERY TIME. AND TODD BOEHLY NEVER REALIZES THAT",This manager won't take us anywhere ,"Potter had to release Mudryk and catch the opponent on quick counterattacks.  That's when there was space and free zones where Mudryk would run like a rocket.  That is how it should be used, that is its value.","That's Potter's mid-table club mentality. If it was a mid-table club, it'd be normal for them to hang onto a 1 goal lead. But this is Chelsea. He is not Chelsea quality. Terrible substitutions.",Just like to thank the realised head groundsman and his son for decades of fantastic work and to wish them both all the best!!!%%%%%%,"GP still doesn't know how to make the right substitutions, it's really sad to end with a draw","Let's be honest, the players have a level of understanding with each other by now. If we brought in a top class coach next season it won't take him long to get us running. Potter just isn't cut out for managing a top club. We can't even dominate a game against relegation teams. Disgusting","We can't give more time to the manager,he is so outrageous.","Am happy for Joa Felix, he finally scored",Not gonna lie that loss at the last minute wow got me speechless we almost had the gap reduced chance to hit top 5 with some teams drawing,"Potter came from a mid - level team and made us a mid - level team. Change my mind 🤷‍♂. We need a top - tier manager who has proven himself. Ancelotti, Mourinho, for example. I miss the era of Tuchel so much. I hope he comes back. Nothing against Potter, all our fans were supportive of him for quite a long time, but things just do not work out. We lost our champion mentality. We park the bus at 1 - 0. Where is the team that played like it was their last game? Come on blues!!!!!","Mudryk played well last Game no where to be found, madueke could have made a light something absent, you remove pulisic for Gallagher, Zaharia could have fitted well in this game absent, whatever potter is using for him to still be around I don’t know, if we play like this against Liverpool, Real Madrid, Arsenal we are finished","lovely first goal at stamford bridge for joão, and an ice cold penalty from kai ",What a match ,Posso morrer por esse clube,"Immediately I saw Havertz directing his celebration towards Pickford after scoring the penalty, I sensed it would come back to hunt Chelsea and I wasn't wrong",When he changed Kovacic and Fofana i knew that we could lose this game,Everything he touch turn to goals indeed.,Felix is a brilliant player I most def wanna see folks in Chelsea for longer seasons,Not the best from the blues but we move on with life Stay Strong⚽️
Chelsea,mpAs79hemw0,"Kerr is one of the legends not only of the women's team, but also of the history of Chelsea","What a pass from Lauren James…now it’s becoming clear it’s in the family.

What a cross. What an assist that was.❤❤❤",I’m glad our woman’s team are always on form,"What an assist
What a goal
World class ladies",What a pass from Lauren and a finish from kerr this two combinations are genius ❤️,Sam Kerr is an absolute unit ,"Sam Kerr is such a GEM and Lauren James, just WOW",Sam Kerr is our Drofba in his prime for women team,What an assist from James!,it is pure joy when both The Men and Women's teams are both giving great performances and WINS.,"Dêem a equipe masculino um finalizador do nível Sam Kerr e veremos o sobrenome James nas estatísticas de assistência nos dois géneros. 

Essa família James é incrível e, estou me perguntando o que foi mais louco, o golo ou a assistência ","Nice team performance, fantastic goal and assist! ",Got goosebumps with Lauren and Sam ,When the assist is nice than the goal.....L.J.,Kerr is class... LJ is soo soo soo good  lovely scenes,"The assist and finish were elite, holy moly","We are so accustomed to seeing Kerr’s excellence every week I worry it can easily be taken for granted. What a player, truly one of the best in the world. She shows up for us every single time, a real gift to the game. That goal is just 10/10 and that beauty of pass from LJ, geez. 

Super proud of the team for this performance, everyone put in a good shift.",Lauren James is a beast with that assist ❤,"Sam Kerr has some traits of Drogba. A notable one has to be her never give up attitude till she scored and the team wins. Not forgetting she's good with strength, positioning and has tenacity.",POV: When the assist is better than the finish,This is a fantastic performance from our women team. We should win the trophy this season.,"Good attacking from the ladies, nice work rate from them, well deserved win",I think Lauren James should join her brother in the men's side. What a pass 🤯,Gr8 performance given not the best team we could field .missing Reiten really limited our ability to attack .,"I honestly thought Lauren James was left footed, and it turns out that it doesn't matter. 🤣🤣",Bravo Our Beautiful Chelsea Ladies!!!! Sam Kerr is Goat for me.🥰🤗,Salute to the James family ❤,"That pass from LAUREN was equal to FABREGAS & SAM""s control of the ball & goal was equal to ANY male talent!!",Lauren James' pass was legendary,These ladies can ball. Big ups to them.
Chelsea,kxvM3fMg2jY,What a performance from Ben Chilwell. So underrated person. Last three games Chelsea won were when Ben is on fire. My favourite player in current team,The pass from enzo to kai havertz is absolutely tremendous to be honest,"Enzo Fernandez is world class, not many players come to the league at a young age and lead a side every game with such maturity, his passing range is ridiculous! Played so calm and smooth",Love how Kova pointed to Mudryk for the assist when he scored. Love to see how his teammates supporting him to regain his confidence,Mudryk was great got an assist had a goal taken off because of offside he was a constant threat made good runs and passes overall good performance,Kovacic doesn't score ordinary goals ,That pass from Enzo and the cool finish from Kai is simply outstanding,"Great performance, unlucky for Mudryk to not have scored but he played well. Enzo really is a gem of a player, superb assist for Kai’s goal!","3 good results in a row, hopefully this team has turned a corner and can start building momentum now","No one is talking about how with two more assists, Enzo meets Jorginho's all high season record. He arrived in January btw.. My starboy⭐",That beautiful assist and fantastic finish between Enzo and Kai is extremely beautiful,What a performance. Also need to give credit to Connor for that goal line block . Up the Chels ,"Kai has come in for a lot of criticism lately but he alone has kept the spirit of Chelsea alive during this difficult period. His determination and effort is what Chelsea are all about, I hope there is a place for him going forward.",Fofana is the perfect centre back for us. He deserves to continue starting for the rest of the season. What a player and great win from the blues ,This is the Chelsea we love... I hope we maintain this attitude ☺️,Enzo vision is what we have been missing. Chilwell is a class above others. Fofana is a starter. Love felix but the post loves him more. Great streak we feel good!!!,"Enzo is literally world class man, them passes are just tremendous, the team played really well ❤️","Enzo, what a player. Controlling midfield in a PL match and he's only 22. He is the closest player to Fabregas so far. The future looking good...","Team made me so happy today. 
Couple of disallowed goals that may have stood for other teams 
But we still scored 3 undisallowed. So good one. 
Nice to see us winning games.","Chukuemeka's cameo in the final minutes was so enjoyable to watch. How he drives with the ball in midfield before he was fouled, just lovely . We have a great talented player, I just hope he gets more minutes now",All 4 goals were worth watching today ,"many of our players on fire in this game, but for this game especially i have to give major appreciation to kai again and enzo  what an assist by enzo to havertz for the goal!! chilly with a lovely little goal and kova with that scissor kick goal was class… still room for improvement but another step in the right direction  good subs by potter and he definitely got it right today, good win and effort from the boys, COYB ",What a sublime pass from Enzo Fernandez.....Chelsea is back,Enzo's pass to Kai was all he needed to score. Also the last few games we see another Chilwell. Incredible performance from him,Fernandez could be our new Fabregas. Such a lovely ball to Havertz for the second goal. When Chilwell plays Chelsea do well. He's easily one of our best players. Let's hope we can keep him. Mudryk and Madueke are going to be golden over the next few years. Watch them both next season. Incredible talents. Cucurella gets a lot of stick but with good management I think he'll become a Chelsea favourite. One good greedy striker like Diego Costa and this team could challenge again on all fronts. And I wouldn't swap Potter for anyone. He's strong. And he's going to lead us to another championship if we all get behind him. Allez les bleus! Love you always and forever...no matter what.,Kepa has been consistently solid for some time now. Great to see him progress,Koulibaly fantastic. What's a player!,Mudryk so unlucky but is adopting....I hope his time comes coz he is such a dynamic player and dangerous on counter attacks.....,Fantastic goals today! It was a brilliant effort from the team,"here is an impressive smile sure to put a smile on your face
Matteo Kovacic
Games as captain: 3
Games won: 3

Up the chels!
"
Chelsea,W0gkMq4mKaY,Kepa now the only keeper to have an 80%+ save percentage in both the PL and UCL and also has more clean sheets for Chelsea in less appearances than Courtois. Not bad for someone who was deemed that worst keeper in the league at one point 🧤,I was so scared of Cucu playing… he totally shut my mouth tbh. What an outstanding performance ,This is the Chelsea we all know and love ,"3-4-3 is the way to go, especially in UCL, happy for Potter and the players after a tough time period, we have the best wingbacks and many talented CBs, Havertz was classy in a deeper role too ",So proud of the boys for giving their all. That's all I wanted so thank you.,What an outstanding performance from lads! Keep pushing!,"I live for moments like these ,chelsea through thick and thin ","Historic night, proud to be Chels. Up the Potter x","Chilwell, Cucu and Kepa - they were absolutely fantastic in this game. Also, it is lovely seeing W Fofana getting confident and giving needed performances. A little better coordination among the squad and finish in front of the goal post, that's all we need to be an impactful side.",Chilwell definitely our best left back. Great win Back3 seems comfortable for most of players.,"good to see them back in form, i hope they continue this way","Great to see we are winning again.
Sterling's goal was so lucky, he missed the first kick and followed up.
Havertz's goal was lucky too, he missed the first penalty and scored the second.
It meant for us to win.","Great performance from Chelsea.
Come on Chelsea.. :-)","Kovačić great leader!
Thank you captain!
Thank you blues!
⚪️🦁","well done to the boys for this performance, everyone was on it and played great let’s continue like this, coyb ","the boys came back so strong this match, this was the team effort we needed <333","All my respect to the great players .keep going 
From Morocco ",Can't believe you guys didn't show the havertz back heel pass in the build-up to that first goal,"Great win and truly deserve winners, we are getting there gradually",Love the passion of the lads,Harvertz insane game… great passes…,What a performance ,Finally something to look at and smile. Hopefully we continue winning,Way to go guys!,King Kai  — ice cold ✊,Kepa is legit proving his worth. €80 million not wasted.,I love this club,Well done Chelsea ❤,"POTTER, ALL WILL BE FORGOTTEN AND FORGIVEN IF YOU DELIVER CHELSEA THE CHAMPIONS LEAAAAGUEEE ","This club is just built different in the UCL, I don’t know what it is but we just come alive in this competition 🧬"
Chelsea,F81ZM-ZG6-g,Learn for mistake...still have another cup...games must go on...all the best for women Chelsea ❤️,I thought Chelsea had this in the bag. They made too many defensive mistakes. Third goal should not happen. Big up to Arsenal for showing up. Blackstenius and Zinsberger were great.,i can't lie arsenal really got us in this match and even in the last match even though we win 2-0the only differences from the last match was they were unlucky to score but you can see from how many on target shots they got,"Sad one, we learn, we move on...","After all the struggles, it ended up this way.",We are so proud of ladies. Keep it up.,"Fair play Arsenal , they were superb and to be fair deserved more the week before in the FA Cup , As soon as Arsenal got back in you knew they would win , Chelsea looked a little leggy need to pick up quick , Brighton and leaders Man utd await .",Kerr is deadly,Our defenders made so many mistakes Eriksson Ingle then Charles...Hayes has lots of work to do.,I think its great to see the women out there ! alot of respect to them and there role in sports and football (both playing and its culture !) Its getting better yall !,Arsenal needed that win against Chelsea.,Well played blues ..result is alright..,"They were able to capitalize on some bad luck situations it seemed, nevertheless they were the better team that day. Sometimes y'all are too comfy and not cut throat enough. Y'all should be trying to murder em, easy to say from this couch, but onto the next one! Next time! Looking forward!","Next cup let's work on our defense, more winning to us all. The sky is blue",Heads up ladies..we still have 3 trophies to play for..COYB ,"Chin up sisters, you'll be back soon enough ",We played so bad against Arsenal and lost the game.,"It's fine chelsea fcw, hope you guys play better next game.",How did we lose this ffs,Kudos ladies even if yall lost I prefer watching you then our male team,So disappointed man. But onwards we go,Do you think when the woman collided into Berger it was a red? I'm watching my first women game as ♂️,almost like watching Polish Ekstraklasa ,"For women's game, it will be better of the size of the goals are reduced or the field. It will match their physical capacity",Even our women’s team is losing,"Am amazed by the level of play, especially picking of passes",,,,
